count,mean,std,min,25%,50%,75%,max,IQR
367.0,931.9346866485014,9342.366983864618,0.88,71.94,93.5,106.93,160000.0,34.99000000000001
367.0,0.06588310626702998,0.4342889066830055,-7.585,0.0436,0.07629999999999999,0.10494999999999999,2.1332,0.06134999999999999
367.0,0.13017166212534056,0.5654471139752748,0.0,0.04825,0.0862,0.11845,10.425999999999998,0.0702
367.0,2.7238147138964584,26.027093095958385,0.0,0.82,0.94,1.02,486.34,0.20000000000000007
367.0,557809866.3106267,1678909179.8194115,0.0,69608100.0,166298000.0,415578000.0,25520000000.0,345969900.0
367.0,689521.9645776567,1408642.5167839578,0.0,5596.5,114250.0,601923.5,11186600.0,596327.0
367.0,6.03542234332425,26.153212902204313,0.0,0.0,1.0,4.0,426.0,4.0
367.0,52314.12896457766,743238.572564755,0.0,0.0,4.34,4087.2599999999998,13807300.0,4087.2599999999998
367.0,5392.7344141689355,73164.24611350971,0.0,0.0,0.0,349.05,1270990.57,349.05
367.0,0.046468664850136246,0.08253138614179271,0.0,0.0,0.0,0.08235,0.9275,0.08235
367.0,0.050243869209809264,0.15600812928680197,0.0,0.0,0.0,0.0,1.0,0.0
