,ultima_data_com,tipo,data_pgto,valor,tag
0,31/08/2022,Rendimento,14/09/2022,0.58,KNIP11
1,29/07/2022,Rendimento,11/08/2022,1.04,KNIP11
2,30/06/2022,Rendimento,13/07/2022,1.5,KNIP11
3,31/05/2022,Rendimento,13/06/2022,1.7,KNIP11
4,29/04/2022,Rendimento,12/05/2022,1.7,KNIP11
5,31/03/2022,Rendimento,13/04/2022,1.35,KNIP11
6,25/02/2022,Rendimento,14/03/2022,1.08,KNIP11
7,31/01/2022,Rendimento,11/02/2022,1.36,KNIP11
8,30/12/2021,Rendimento,13/01/2022,1.5,KNIP11
9,30/11/2021,Rendimento,13/12/2021,1.5,KNIP11
10,29/10/2021,Rendimento,12/11/2021,1.4,KNIP11
11,30/09/2021,Rendimento,14/10/2021,1.2,KNIP11
12,31/08/2021,Rendimento,14/09/2021,1.2,KNIP11
13,30/07/2021,Rendimento,12/08/2021,1.1,KNIP11
14,30/06/2021,Rendimento,13/07/2021,1.1,KNIP11
15,31/05/2021,Rendimento,14/06/2021,1.13,KNIP11
16,30/04/2021,Rendimento,13/05/2021,1.0,KNIP11
17,31/03/2021,Rendimento,14/04/2021,1.02,KNIP11
18,26/02/2021,Rendimento,11/03/2021,1.2,KNIP11
19,29/01/2021,Rendimento,11/02/2021,1.27,KNIP11
20,30/12/2020,Rendimento,14/01/2021,1.35,KNIP11
21,30/11/2020,Rendimento,11/12/2020,1.0,KNIP11
22,30/10/2020,Rendimento,13/11/2020,0.75,KNIP11
23,30/09/2020,Rendimento,14/10/2020,0.74,KNIP11
24,31/08/2020,Rendimento,14/09/2020,0.75,KNIP11
25,31/07/2020,Rendimento,13/08/2020,0.7,KNIP11
26,30/06/2020,Rendimento,13/07/2020,0.5,KNIP11
27,29/05/2020,Rendimento,12/06/2020,0.4,KNIP11
28,30/04/2020,Rendimento,14/05/2020,0.66,KNIP11
29,31/03/2020,Rendimento,14/04/2020,0.7,KNIP11
30,28/02/2020,Rendimento,12/03/2020,0.8,KNIP11
31,31/01/2020,Rendimento,13/02/2020,0.85,KNIP11
32,30/12/2019,Rendimento,14/01/2020,0.75,KNIP11
33,29/11/2019,Rendimento,12/12/2019,0.5,KNIP11
34,31/10/2019,Rendimento,13/11/2019,0.57,KNIP11
35,30/09/2019,Rendimento,11/10/2019,0.65,KNIP11
36,30/08/2019,Rendimento,12/09/2019,0.68,KNIP11
37,31/07/2019,Rendimento,13/08/2019,0.65,KNIP11
38,28/06/2019,Rendimento,11/07/2019,0.75,KNIP11
39,31/05/2019,Rendimento,13/06/2019,0.85,KNIP11
40,30/04/2019,Rendimento,14/05/2019,0.85,KNIP11
41,29/03/2019,Rendimento,11/04/2019,0.81,KNIP11
42,28/02/2019,Rendimento,15/03/2019,0.63,KNIP11
43,31/01/2019,Rendimento,13/02/2019,0.46,KNIP11
44,28/12/2018,Rendimento,14/01/2019,0.55,KNIP11
45,30/11/2018,Rendimento,13/12/2018,0.85,KNIP11
46,31/10/2018,Rendimento,14/11/2018,0.82,KNIP11
47,28/09/2018,Rendimento,11/10/2018,0.59,KNIP11
48,31/08/2018,Rendimento,14/09/2018,0.85,KNIP11
49,31/07/2018,Rendimento,13/08/2018,0.89,KNIP11
50,29/06/2018,Rendimento,12/07/2018,0.65,KNIP11
51,30/05/2018,Rendimento,13/06/2018,0.59,KNIP11
52,30/04/2018,Rendimento,14/05/2018,0.6,KNIP11
53,29/03/2018,Rendimento,12/04/2018,0.75,KNIP11
54,28/02/2018,Rendimento,13/03/2018,0.75,KNIP11
55,31/01/2018,Rendimento,15/02/2018,0.86,KNIP11
56,28/12/2017,Rendimento,12/01/2018,0.69,KNIP11
57,30/11/2017,Rendimento,13/12/2017,0.77,KNIP11
58,31/10/2017,Rendimento,14/11/2017,0.64,KNIP11
59,29/09/2017,Rendimento,13/10/2017,0.58,KNIP11
60,31/08/2017,Rendimento,14/09/2017,0.6,KNIP11
61,31/07/2017,Rendimento,11/08/2017,0.5,KNIP11
62,30/06/2017,Rendimento,13/07/2017,0.56,KNIP11
63,31/05/2017,Rendimento,13/06/2017,0.6,KNIP11
64,28/04/2017,Rendimento,12/05/2017,0.65,KNIP11
65,31/03/2017,Rendimento,13/04/2017,0.89,KNIP11
66,24/02/2017,Rendimento,13/03/2017,0.67,KNIP11
67,29/12/2016,Rendimento,12/01/2017,0.85,KNIP11
